cave chamber floor;triangles=78;vertices=75;groups=1;actualCell=0.42969;seconds=0.0072
cave left deep rock;triangles=100;vertices=91;groups=1;actualCell=0.38281;seconds=0.0048
cave right deep rock;triangles=100;vertices=91;groups=1;actualCell=0.38281;seconds=0.0048
cave strata -1/0/0;triangles=78;vertices=91;groups=1;actualCell=0.18594;seconds=0.0031
cave strata -1/0/1;triangles=216;vertices=172;groups=1;actualCell=0.18594;seconds=0.0035
cave strata -1/0/2;triangles=130;vertices=124;groups=1;actualCell=0.18594;seconds=0.0031
cave strata -1/0/3;triangles=124;vertices=114;groups=1;actualCell=0.18594;seconds=0.0035
cave strata -1/0/4;triangles=288;vertices=233;groups=1;actualCell=0.18594;seconds=0.0030
cave strata -1/0/5;triangles=138;vertices=139;groups=1;actualCell=0.18594;seconds=0.0032
cave strata -1/0/6;triangles=132;vertices=124;groups=1;actualCell=0.18594;seconds=0.0033
cave strata -1/1/0;triangles=84;vertices=106;groups=1;actualCell=0.18594;seconds=0.0032
cave strata -1/1/1;triangles=258;vertices=206;groups=1;actualCell=0.18594;seconds=0.0039
cave strata -1/1/2;triangles=58;vertices=71;groups=1;actualCell=0.18594;seconds=0.0028
cave strata -1/1/3;triangles=228;vertices=187;groups=1;actualCell=0.18594;seconds=0.0039
cave strata -1/1/4;triangles=218;vertices=183;groups=1;actualCell=0.18594;seconds=0.0037
cave strata -1/1/5;triangles=66;vertices=79;groups=1;actualCell=0.18594;seconds=0.0038
cave strata -1/1/6;triangles=78;vertices=91;groups=1;actualCell=0.18594;seconds=0.0043
cave strata -1/2/0;triangles=116;vertices=121;groups=1;actualCell=0.18594;seconds=0.0037
cave strata -1/2/1;triangles=202;vertices=167;groups=1;actualCell=0.18594;seconds=0.0037
cave strata -1/2/2;triangles=248;vertices=203;groups=1;actualCell=0.18594;seconds=0.0032
cave strata -1/2/3;triangles=122;vertices=136;groups=1;actualCell=0.18594;seconds=0.0033
cave strata -1/2/4;triangles=252;vertices=204;groups=1;actualCell=0.18594;seconds=0.0041
cave strata -1/2/5;triangles=84;vertices=92;groups=1;actualCell=0.18594;seconds=0.0036
cave strata -1/2/6;triangles=84;vertices=106;groups=1;actualCell=0.18594;seconds=0.0032
cave strata -1/3/0;triangles=124;vertices=114;groups=1;actualCell=0.18594;seconds=0.0029
cave strata -1/3/1;triangles=300;vertices=242;groups=1;actualCell=0.18594;seconds=0.0033
cave strata -1/3/2;triangles=114;vertices=121;groups=1;actualCell=0.18594;seconds=0.0028
cave strata -1/3/3;triangles=132;vertices=124;groups=1;actualCell=0.18594;seconds=0.0035
cave strata -1/3/4;triangles=216;vertices=182;groups=1;actualCell=0.18594;seconds=0.0038
cave strata -1/3/5;triangles=108;vertices=120;groups=1;actualCell=0.18594;seconds=0.0031
cave strata -1/3/6;triangles=116;vertices=121;groups=1;actualCell=0.18594;seconds=0.0029
cave strata 1/0/0;triangles=178;vertices=163;groups=1;actualCell=0.18594;seconds=0.0035
cave strata 1/0/1;triangles=100;vertices=116;groups=1;actualCell=0.18594;seconds=0.0024
cave strata 1/0/2;triangles=134;vertices=132;groups=1;actualCell=0.18594;seconds=0.0029
cave strata 1/0/3;triangles=206;vertices=171;groups=1;actualCell=0.18594;seconds=0.0037
cave strata 1/0/4;triangles=200;vertices=176;groups=1;actualCell=0.18594;seconds=0.0031
cave strata 1/0/5;triangles=158;vertices=159;groups=1;actualCell=0.18594;seconds=0.0029
cave strata 1/0/6;triangles=202;vertices=171;groups=1;actualCell=0.18594;seconds=0.0036
cave strata 1/1/0;triangles=182;vertices=170;groups=1;actualCell=0.18594;seconds=0.0028
cave strata 1/1/1;triangles=118;vertices=116;groups=1;actualCell=0.18594;seconds=0.0032
cave strata 1/1/2;triangles=100;vertices=97;groups=1;actualCell=0.18594;seconds=0.0036
cave strata 1/1/3;triangles=264;vertices=218;groups=1;actualCell=0.18594;seconds=0.0032
cave strata 1/1/4;triangles=148;vertices=150;groups=1;actualCell=0.18594;seconds=0.0039
cave strata 1/1/5;triangles=90;vertices=97;groups=1;actualCell=0.18594;seconds=0.0055
cave strata 1/1/6;triangles=178;vertices=163;groups=1;actualCell=0.18594;seconds=0.0046
cave strata 1/2/0;triangles=214;vertices=180;groups=1;actualCell=0.18594;seconds=0.0049
cave strata 1/2/1;triangles=436;vertices=366;groups=1;actualCell=0.18594;seconds=0.0052
cave strata 1/2/2;triangles=104;vertices=113;groups=1;actualCell=0.18594;seconds=0.0038
cave strata 1/2/3;triangles=138;vertices=141;groups=1;actualCell=0.18594;seconds=0.0052
cave strata 1/2/4;triangles=54;vertices=69;groups=1;actualCell=0.18594;seconds=0.0049
